,직종코드,직종명,상위단계 직종코드
397,222003,법무 사무원(일반 기업체),036
398,029905,취업 알선원(직업소개소),037
399,231100,사회복지사,037
400,231101,사회복지사(사회복지시설),037
401,231102,사회복지사(공공행정),037
402,231103,사회복지프로그램 운영자,037
403,231104,방과후 교사 및 지도사,037
404,231200,상담 전문가,037
405,231201,심리상담 전문가,037
406,231202,가족·학교·아동·청소년·노인·중독 등 상담 전문가,037
407,231300,청소년 지도사,037
408,231400,직업상담사,037
409,231500,시민단체 활동가,037
410,232100,보육 교사,038
411,232900,기타 사회복지 종사원,038
412,232901,노인 생활지도원,038
413,232902,아동 생활지도원,038
414,232903,장애인 생활지도원(장애인활동보조원 포함),038
415,232904,그 외 사회복지 종사원,038
416,233100,성직자,038
417,233900,기타 종교 종사자,038
418,240100,경찰관 및 수사관,039
419,240200,소방관,039
420,240300,교도관 및 소년원학교 교사,039
421,250100,영관급 이상 장교,039
422,250200,위관급 장교,039
423,250300,부사관,039
424,250900,기타 군인,039
425,301100,전문 의사,041
426,301200,일반 의사,041
427,301300,한의사,041
428,301400,치과 의사,041
429,302000,수의사,042
430,303000,약사 및 한약사,042
431,304000,간호사,042
432,304001,전문 간호사,042
433,304002,일반 간호사,042
434,304003,보건교사,042
435,305000,영양사,042
436,307500,간호조무사,042
437,306100,임상병리사,043
438,306200,방사선사,043
439,306300,치과기공사,043
440,306400,치과위생사,043
441,306500,물리 및 작업 치료사,043
442,306501,물리치료사,043
443,306502,작업치료사,043
444,306600,임상심리사(심리치료사),043
445,306700,재활공학 기사(의지보조기기사),043
446,306900,기타 치료·재활사 및 의료기사,043
447,306901,언어·청능 치료사,043
448,306902,놀이·음악·미술·독서 등 치료사,043
449,306903,운동처방사,043
450,026302,병원행정 사무원(원무),044
451,029210,병원 코디네이터,044
